event,item,k,id proto,label,start time,end time,random time,velocity,random velocity,velocity control,trunc beg,trunc end,dilation ratio beta,dilation ratio alpha,cycles,cyclic after,force integer number of cycles,articul,preroll,postroll,transposition,transpose first,expand value,expand key,keymap mode,keymap0 p1,keymap0 q1,keymap0 p2,keymap0 q2,keymap1 p1,keymap1 q1,keymap1 p2,keymap1 q2,volume start,volume end,volume channel,volume mode (2 = continuous),modulation start,modulation end,modulation channel,modulation mode,panoramic start,panoramic end,panoramic channel,panoramic mode,pressure start,pressure end,pressure channel, pressure mode,pitchbend start,pitchbend end,pitchbend channel,pitchbend mode,tonal scale,block key
#30,1,(32),0,si4,5899,5999,20,64,0,-1,0,0,0.1000,0.1000,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#31,1,(33),0,do5,5991,6082,20,64,0,-1,0,0,0.0910,0.0910,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#32,1,(35),0,si4,6101,6975,20,64,0,-1,0,0,0.8740,0.8740,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#33,1,(47),0,fa4,6372,6955,20,64,0,-1,0,0,0.5830,0.5830,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#34,1,(53),0,do4,6943,8098,20,64,0,-1,0,0,1.1550,1.1550,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#35,1,(48),0,do4,6948,7530,20,64,0,-1,0,0,0.5820,0.5820,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#36,1,(37),0,do5,6950,7020,20,64,0,-1,0,0,0.0700,0.0700,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#37,1,(38),0,si4,7025,7095,20,64,0,-1,0,0,0.0700,0.0700,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#38,1,(40),0,do5,7097,8112,20,64,0,-1,0,0,1.0150,1.0150,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#39,1,(49),0,mib4,7525,8098,20,64,0,-1,0,0,0.5730,0.5730,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#40,1,(81),0,do4,8108,8208,20,64,0,-1,0,0,0.1000,0.1000,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#41,1,(56),0,re4,8129,8827,20,64,0,-1,0,0,0.6984,0.6984,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#42,1,(74),0,re4,8132,9297,20,64,0,-1,0,0,1.1650,1.1650,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#43,1,(82),0,si3,8199,8289,20,64,0,-1,0,0,0.0900,0.0900,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#44,1,(83),0,do4,8303,8404,20,64,0,-1,0,0,0.1010,0.1010,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#45,1,(85),0,si3,8403,9277,20,64,0,-1,0,0,0.8740,0.8740,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#46,1,(57),0,fa4,8703,9286,20,64,0,-1,0,0,0.5830,0.5830,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
#47,1,(87),0,do4,9455,10841,20,64,0,-1,0,0,1.3860,1.3860,1,0,0,0,0.0000,0.0000,0,1,0.0000,-1,OFF,0,0,127,127,0,0,127,127,90,90,1,1,0,0,1,1,64,64,1,1,0,0,1,1,8192,8192,1,1,rameau_en_sib,60
